date,iso_week,close,volume,close_point_relative_normalization,volume_point_relative_normalization
2016-01-01,2016-00,434.33,36278900.0,0.0,0.0
2016-01-02,2016-00,433.44,30096600.0,-0.0020491331476065744,-0.1704103487150933
2016-01-03,2016-01,430.01,39633800.0,0.0,0.0
2016-01-04,2016-01,433.09,38477500.0,0.007162624125020223,-0.029174593402600757
2016-01-05,2016-01,431.96,34522600.0,0.0045347782609705956,-0.1289606346098532
2016-01-06,2016-01,429.11,34042500.0,-0.0020929745819864287,-0.1410740327700094
2016-01-07,2016-01,458.05,87562200.0,0.06520778586544496,1.2092809672552214
2016-01-08,2016-01,453.23,56993000.0,0.05399874421525097,0.43798979658776105
2016-01-09,2016-01,447.61,32278000.0,0.04092928071440194,-0.18559411411472027
2016-01-10,2016-02,447.99,35995900.0,0.0,0.0
2016-01-11,2016-02,448.43,40450000.0,0.0009821647804637568,0.12373909250775772
2016-01-12,2016-02,435.69,115607000.0,-0.02745596999933042,2.2116713292347185
2016-01-13,2016-02,432.37,173888000.0,-0.034866849706466696,3.8307723935225955
2016-01-14,2016-02,430.31,43945500.0,-0.03946516663318378,0.22084737428429357
2016-01-15,2016-02,364.33,153351000.0,-0.18674523984910385,3.260235193452588
2016-01-16,2016-02,387.54,120352000.0,-0.13493604767963563,2.343491897688348
2016-01-17,2016-03,382.3,45319600.0,0.0,0.0
2016-01-18,2016-03,387.17,54403900.0,0.012738686895108486,0.20044969505467836
2016-01-19,2016-03,380.15,46819800.0,-0.00562385561077694,0.03310267522219967
2016-01-20,2016-03,420.23,121720000.0,0.09921527596128699,1.6858136435449564
2016-01-21,2016-03,410.26,68338000.0,0.07313628040805642,0.5079126911976275
2016-01-22,2016-03,382.49,91546600.0,0.0004969918911850169,1.020022242032145
2016-01-23,2016-03,387.49,56247400.0,0.013575725869735766,0.24112745920087564
2016-01-24,2016-04,402.97,54824800.0,0.0,0.0
2016-01-25,2016-04,391.73,59062400.0,-0.027892895252748406,0.07729348761874189
2016-01-26,2016-04,392.15,58147000.0,-0.026850634042236532,0.060596664283317114
2016-01-27,2016-04,394.97,47424400.0,-0.0198525944859419,-0.1349827085552524
2016-01-28,2016-04,380.29,59247900.0,-0.05628210536764522,0.08067699289372698
2016-01-29,2016-04,379.47,86125300.0,-0.05831699630245424,0.570918635362099
2016-01-30,2016-04,378.25,30284400.0,-0.061344516961560513,-0.44761494797974644
2016-01-31,2016-05,368.77,37894300.0,0.0,0.0
2016-02-01,2016-05,373.06,51656700.0,0.011633267348211573,0.36317863108699733
2016-02-02,2016-05,374.45,40378700.0,0.015402554437725424,0.06556131133178345
2016-02-03,2016-05,369.95,45933400.0,0.003199826450090759,0.21214536223125902
2016-02-04,2016-05,389.59,69285500.0,0.05645795482278926,0.8283884383667202
2016-02-05,2016-05,386.55,43825000.0,0.04821433413780962,0.15650638750418921
2016-02-06,2016-05,376.52,49249300.0,0.021015809312037392,0.2996492876237322
2016-02-07,2016-06,376.62,37076300.0,0.0,0.0
2016-02-08,2016-06,373.45,47671100.0,-0.00841697201423186,0.28575666935481703
2016-02-09,2016-06,376.03,55318500.0,-0.0015665657692104373,0.4920178119175862
2016-02-10,2016-06,381.65,85130900.0,0.013355636981572827,1.2961002041735554
2016-02-11,2016-06,379.65,74375600.0,0.008045244543571695,1.0060146238972068
2016-02-12,2016-06,384.26,67042800.0,0.020285699113164357,0.8082386861687925
2016-02-13,2016-06,391.86,61911700.0,0.040465190377569016,0.6698456965770587
2016-02-14,2016-07,407.23,74469800.0,0.0,0.0
